key,title,en,image,link
casualgreetings,1. Casual Greeting,"In casual meetings, it is common to smile, make eye contact, and say a simple 'Hi' or 'Hello'.",https://images.unsplash.com/photo-1519125323398-675f0ddb6308, #
FormalGreeting,2. Formal Greeting,"In formal settings, shake hands firmly and address people by their title and surname.",https://images.unsplash.com/photo-1521737852567-6949f3f9f2b5, #
GreetingGesture,3. Greeting Gesture,"Depending on culture, greetings may include a handshake, a nod, or a light cheek kiss. Always follow the other person’s lead.",https://images.unsplash.com/photo-1506744038136-46273834b3fb, #
CommonGreetings,4. Common Greetings,"Common greetings in meetings include 'How are you?', 'Nice to meet you', or 'Good morning'.",https://images.unsplash.com/photo-1465101046530-73398c7f28ca, #
QueueEtiquette,5. Queue Etiquette,"When entering a meeting room or event, wait for your turn and avoid pushing in front of others.",https://images.unsplash.com/photo-1503676382389-4809596d5290, #
DiningPoliteness,6. Dining Politeness,"If food is served during a meeting, wait until everyone is served before you start eating.",https://images.unsplash.com/photo-1519864600265-abb23847ef2c, #
RespectingDiversity,7. Respecting Diversity,"Respect different cultural, religious, and dietary preferences during meetings and events.",https://images.unsplash.com/photo-1465101046530-73398c7f28ca, #
SeatingEtiquette,8. Seating Etiquette,"In formal meetings, wait to be shown your seat. In casual settings, ask politely before choosing a seat.",https://images.unsplash.com/photo-1515378791036-0648a3ef77b2, #
MobilePhoneManners,9. Mobile Phone Manners,Keep your phone on silent mode during meetings and avoid answering non-urgent calls.,https://images.unsplash.com/photo-1512499617640-c2f999098c01, #
TurnTakinginMeetings,10. Turn Taking in Meetings,"Speak one at a time and wait for your turn to contribute, without interrupting others.",https://images.unsplash.com/photo-1465101178521-c1a9136a3b99, #
DisagreeingPolitely,11. Disagreeing Politely,"When disagreeing, use polite phrases like 'I see it differently' instead of blunt refusals.",https://images.unsplash.com/photo-1504384308090-c894fdcc538d, #
UsingTitles,12. Using Titles,Address colleagues formally with titles and surnames until invited to use first names.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308, #
BodyLanguage,13. Body Language,"Maintain open body language, such as sitting upright and nodding, to show engagement.",https://images.unsplash.com/photo-1517841905240-472988babdf9, #
EndingaMeeting,14. Ending a Meeting,Meetings usually end with a summary of key points and clear action steps.,https://images.unsplash.com/photo-1465101046530-73398c7f28ca, #
Follow-upAfterMeeting,15. Follow-up After Meeting,Send follow-up emails or notes after the meeting to confirm agreements and responsibilities.,https://images.unsplash.com/photo-1515378791036-0648a3ef77b2, #
